Player,Squad,Pos,Nation,Age,Min,90s,npxG,Gls,Ast,Sh,SoT,SCA,GCA,PrgP,PrgC,KP,Succ,Crs,Pass_Short_Cmp,Pass_Med_Cmp,Pass_Long_Cmp,Tkl,TklW,Int,Blocks,Clr,Recov,Won%,market_value_in_eur
Tyler Fredricson,Manchester Utd,DF,eng ENG,19.0,165,1.8,0.0,0,0,0.0,0.0,1.67,0.0,8,2,0.0,0.56,0.0,26.1,30.0,4.44,2.78,1.67,0.56,1.11,6.11,6.67,58.3,
Morten Frendrup,Genoa,MF,dk DEN,23.0,3103,34.5,1.6,2,0,0.87,0.26,1.54,0.12,106,24,0.41,0.29,0.09,16.3,12.3,1.16,2.96,1.77,1.36,0.67,1.65,5.33,44.8,20000000.0
Martin Frese,Hellas Verona,DF,dk DEN,26.0,549,6.1,0.1,0,0,0.33,0.0,1.64,0.16,19,7,0.82,0.0,1.64,14.9,10.8,2.95,2.95,1.8,1.31,0.49,2.62,2.3,50.0,2000000.0
Remo Freuler,Bologna,MF,ch SUI,32.0,3204,35.6,1.3,1,2,0.48,0.11,2.08,0.08,208,39,1.01,0.14,0.53,21.5,22.1,3.17,2.22,1.12,1.07,0.45,1.6,4.1,50.0,6500000.0
Marco Friedl,Werder Bremen,DF,at AUT,26.0,2161,24.0,0.5,0,0,0.17,0.13,0.54,0.0,69,4,0.13,0.25,0.08,13.8,33.8,7.13,2.58,1.75,1.42,0.25,5.42,5.88,51.7,10000000.0
Marvin Friedrich,Gladbach,DF,de GER,28.0,989,11.0,0.4,0,1,0.64,0.18,0.82,0.09,36,11,0.27,0.18,0.0,23.1,29.6,3.45,1.36,0.82,0.45,0.55,5.18,3.82,64.2,3500000.0
Jeremie Frimpong,Leverkusen,"DF,MF",nl NED,23.0,2314,25.7,4.1,5,5,1.32,0.62,2.57,0.43,55,100,1.17,0.97,4.51,15.7,10.0,1.17,1.28,0.97,0.31,1.13,0.86,3.27,33.3,50000000.0
Jorge de Frutos,Rayo Vallecano,"FW,MF",es ESP,27.0,2495,27.7,6.3,6,3,1.88,0.65,2.24,0.36,44,77,1.12,1.16,2.49,10.2,4.58,0.79,1.34,0.76,0.69,1.59,0.87,4.01,38.5,4000000.0
Darío Fuentes,Sevilla,DF,es ESP,21.0,5,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Chris Führich,Stuttgart,"MF,FW",de GER,26.0,1981,22.0,2.9,2,3,1.64,0.55,3.86,0.36,95,114,1.45,1.82,3.73,22.7,10.8,1.86,0.68,0.45,0.27,0.91,0.86,2.91,38.5,18000000.0
Shiō Fukuda,Gladbach,FW,jp JPN,20.0,60,0.7,0.4,1,0,4.29,1.43,2.86,1.43,1,0,0.0,1.43,1.43,5.71,1.43,0.0,0.0,0.0,0.0,2.86,0.0,1.43,50.0,
Angelo Fulgini,Lens,"MF,FW",fr FRA,27.0,1045,11.6,2.4,1,1,2.24,0.78,4.66,0.17,69,29,2.41,0.95,3.79,24.4,13.5,2.93,1.21,0.86,0.17,1.29,0.26,4.48,37.5,6000000.0
Niclas Füllkrug,West Ham,FW,de GER,31.0,790,8.8,2.2,3,2,1.82,0.8,2.5,0.23,14,7,1.59,0.11,0.11,9.43,3.98,0.8,0.45,0.34,0.11,0.8,1.82,2.05,42.9,12000000.0
Kyogo Furuhashi,Rennes,FW,jp JPN,29.0,123,1.4,0.1,0,0,0.71,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.71,0.71,0.0,1.43,1.43,0.0,0.71,0.0,0.71,33.3,12000000.0
Manuel Fuster,Las Palmas,"FW,MF",es ESP,26.0,1003,11.1,0.7,2,1,1.62,0.63,5.05,0.54,71,23,2.52,0.45,6.04,22.1,13.7,5.41,1.71,0.99,0.36,1.53,1.53,5.68,18.8,
Matteo Gabbia,Milan,DF,it ITA,24.0,2152,23.9,1.1,2,0,0.59,0.17,0.92,0.13,74,13,0.08,0.04,0.08,14.5,34.6,5.69,0.88,0.63,0.63,0.25,4.31,2.89,56.6,14000000.0
Tommaso Gabellini,Torino,FW,it ITA,17.0,10,0.1,0.1,0,0,10.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,
Tiago Gabriel,Lecce,DF,pt POR,19.0,96,1.1,0.0,0,0,0.0,0.0,0.91,0.0,1,0,0.0,0.0,0.0,6.36,20.0,5.45,0.0,0.0,0.0,1.82,10.0,1.82,83.3,1000000.0
